,book_name,tags,year
0,万物生光辉 (豆瓣),"['吉米·哈利', '自然', '英国', '英国文学', '万物系列', '外国文学', '动物', '随笔']", 2012-3
1,我亲爱的甜橙树 (豆瓣),"['儿童文学', '巴西', '温柔', '外国文学', '爱', '童年', '小说', '童话']", 2010-6
2,教父 (豆瓣),"['教父', '经典', '小说', '马里奥·普佐', '黑帮', '外国文学', '美国文学', '电影原著']", 2014-4
3,故事 (豆瓣),"['写作', '编剧', '电影', '创作', '故事', '罗伯特∙麦基', '文学', '电影理论']", 2014-9-1
4,树上的男爵 (豆瓣),"['卡尔维诺', '意大利', '树上的男爵', '小说', '外国文学', '伊塔洛·卡尔维诺', '意大利文学', '文学']", 2012-4-1
5,罗马人的故事2 (豆瓣),"['历史', '盐野七生', '罗马', '古罗马', '罗马史', '罗马人的故事', '文化', '日本']", 2011-12
6,神秘岛（全三册） (豆瓣),"['科幻', '凡尔纳', '儒勒·凡尔纳', '小说', '科幻小说', '法国', '神秘岛', '外国文学']", 1979
7,罗杰・艾克罗伊德谋杀案 (豆瓣),"['阿加莎·克里斯蒂', '推理', '小说', '英国', '侦探', '侦探小说', 'AgathaChristie', '推理小说']", 1998-10-1
8,呼兰河传 (豆瓣),"['萧红', '中国文学', '小说', '呼兰河传', '北方', '女性', '文学', '中国']", 2003-01-01
9,孽子 (豆瓣),"['白先勇', '小说', '台湾', '台湾文学', '同志', '同性', '中国文学', '现当代文学']", 2010.10
10,木心作品八种 (豆瓣),"['木心', '随笔', '文学', '中国文学', '取今复古，别立新宗。', '散文随笔', '散文', '作品八种']", 2009-1
11,灵魂的事 (豆瓣),"['史铁生', '散文', '灵魂的事', '哲学', '生命', '人生', '思想', '信仰']", 2005-4
12,万物既聪慧又奇妙 (豆瓣),"['吉米·哈利', '英国', '自然', '动物', '外国文学', '英国文学', '小说', '随笔']", 2010-7
13,局外人 (豆瓣),"['加缪', '存在主义', '阿尔贝·加缪', '局外人', '小说', '法国', '法国文学', '外国文学']", 2010-8
14,荒原狼 (豆瓣),"['赫尔曼·黑塞', '小说', '德国', '德国文学', '黑塞', '外国文学', '荒原狼', '文学']", 2010-9
15,所罗门王的指环 (豆瓣),"['科普', '动物行为学', '自然', '动物', '自然科学', '劳伦兹', '生物', '有趣']", 1998-07-01
16,故道白云 (豆瓣),"['佛学', '一行禅师', '禅', '宗教', '佛教', '故道白云', '传记', '佛陀']", 2007-6
17,中国哲学简史 (豆瓣),"['哲学', '冯友兰', '中国哲学', '历史', '中国', '思想', '国学', '三联']", 2009-5
18,经济学 (豆瓣),"['经济学', '萨缪尔森', '经济', '经典教材', '经典', '教材', '经济管理', 'economics']", 2008-1-1
19,史努比黄金50年 (豆瓣),"['漫画', 'Snoopy', '史努比', '美国', '绘本', '经典', 'peanuts', '漫畫']", 2001-1
20,365夜 (豆瓣),"['童话', '365夜', '儿童文学', '童年', '小时候的书', '经典', '中国', '启蒙']", 1981-04
21,世说新语 (豆瓣),"['古典文学', '魏晋风度', '世说新语', '中国文学', '魏晋', '古典', '历史', '文学']", 2007-9
22,银河帝国3：第二基地 (豆瓣),"['科幻', '阿西莫夫', '基地系列', '小说', '科幻小说', '艾萨克·阿西莫夫', '美国', '银河帝国']", 2012-7
23,C专家编程 (豆瓣),"['C语言', '编程', '计算机', 'c', 'C专家编程', 'C/C++', 'C', '程序设计']", 2008-2
24,TCP/IP详解 卷1：协议 (豆瓣),"['TCP/IP', '网络', '网络协议', '计算机', '经典', '计算机科学', '协议', 'TCP:IP']", 2000-4-1
25,基地前传2·迈向基地（上下） (豆瓣),"['科幻', '阿西莫夫', '基地系列', '小说', '科幻小说', '美国', '经典', '艾萨克·阿西莫夫']", 2005-01
26,天真的人类学家 (豆瓣),"['人类学', '田野调查', '随笔', '有趣', '科普', 'Anthropology', '游记', '英国']", 2003-8
27,温柔的夜 (豆瓣),"['三毛', '温柔的夜', '散文', '随笔', '台湾', '文学', '流浪', '中国文学']", 2007-5
28,柏拉图的《会饮》 (豆瓣),"['柏拉图', '哲学', '刘小枫', '古希腊', '西方哲学', '会饮', '政治哲学', '苏格拉底']", 2003-08
29,陶庵梦忆 西湖梦寻 (豆瓣),"['张岱', '古典文学', '明清散文', '散文', '明清笔记', '随笔', '古典', '明清']", 2001-5
30,热爱生命 (豆瓣),"['杰克·伦敦', '小说', '外国文学', '热爱生命', '美国', '经典', '生命', '生存']", 2000-12-03
31,飘 (豆瓣),"['外国文学', '飘', '经典', '乱世佳人', '玛格丽特.米切尔', '世界名著', '小说', '美国']", 1988
32,额尔古纳河右岸 (豆瓣),"['迟子建', '茅盾文学奖', '小说', '鄂温克', '额尔古纳河右岸', '民族', '中国文学', '当代文学']", 2005-12-1
33,绿山墙的安妮 (豆瓣),"['绿山墙的安妮', '儿童文学', '外国文学', '加拿大', '经典', '童话', '成长', '小说']", 2003-01
34,深入理解计算机系统（原书第2版） (豆瓣),"['计算机系统', '计算机', '计算机科学', '操作系统', '操作系统&体系结构', '编程', '体系结构', '程序员']", 2011-1-1
35,陶渊明集 (豆瓣),"['陶渊明', '古典文学', '诗歌', '中国古典文学', '诗词', '陶渊明集', '文学', '中国文学']", 1979-5
36,金刚经 (豆瓣),"['金刚经', '佛学', '佛教', '宗教', '哲学', '鸠摩罗什', '佛经', '金刚般若波罗蜜经']", 2007-4
37,小径分岔的花园 (豆瓣),"['博尔赫斯', '小说', '小径分岔的花园', '拉美文学', '外国文学', '阿根廷', '文学', '拉美']", 2002-7
38,梦里花落知多少 (豆瓣),"['三毛', '散文', '梦里花落知多少', '台湾', '中国文学', '文学', '三毛echo', 'echo']", 2009-4
39,荷西 我爱你 (豆瓣),"['三毛', '荷西，我爱你', '爱情', '散文', '台湾', 'echo', '中国文学', '随笔散文']", 1986
40,尼各马可伦理学 (豆瓣),"['亚里士多德', '哲学', '伦理学', '古希腊', '西方哲学', '尼各马可伦理学', '经典', '商务印书馆']", 2003-11
41,深度探索C++对象模型 (豆瓣),"['C++', '编程', 'C/C++', '计算机', '经典', '程序设计', 'programming', '对象']", 2001-5
42,玻璃球游戏 (豆瓣),"['赫尔曼·黑塞', '小说', '黑塞', '德国', '德国文学', '外国文学', '哲学', '文学']", 2007-07-01
43,浪漫主义的根源 (豆瓣),"['浪漫主义', '以赛亚·伯林', '哲学', '思想史', '政治哲学', '自由主义', '美学', '伯林']", 2008-03
44,吉祥纹莲花楼终篇之青龙·白虎 (豆瓣),"['藤萍', '武侠', '吉祥纹莲花楼系列', '小说', '李莲花', '推理', '悬疑', '悬疑推理']", 2010-10
45,中国少年儿童百科全书 (豆瓣),"['百科全书', '科普', '童年', '中国少年儿童百科全书', '百科', '经典', '中国', '科学']", 1997-11
46,中国少年儿童百科全书 (豆瓣),"['百科全书', '科普', '童年', '中国少年儿童百科全书', '经典', '百科', '少年儿童', '中国']", 1994
47,小兔彼得和他的朋友们（全3册） (豆瓣),"['绘本', '童话', '彼得兔绘本全集：小兔彼得和他的朋友们', '儿童文学', '英国', '彼得兔', '小温暖', '外国文学']", 2009-10
48,鼠族（一、二部） (豆瓣),"['漫画', '二战', '普利策', '阿特·斯皮格曼', '历史', '美国', '鼠族', '外国文学']", 2009-12
49,原动画基础教程 (豆瓣),"['动画', '原动画基础教程——动画人的生存手册', '艺术', '教程', '原动画基础教程', '原画', '教材', '动漫']", 2006-1
50,中国史纲 (豆瓣),"['历史', '张荫麟', '中国历史', '中国通史', '中国史', '中国', '通史', '蓬莱阁丛书']", 1999-12-1
51,美国讲稿 (豆瓣),"['卡尔维诺', '文学理论', '意大利', '文学', '外国文学', '伊塔洛·卡尔维诺', '文学评论', '美国讲稿']", 2008-2
52,精灵宝钻 (豆瓣),"['奇幻', '托尔金', '魔戒', 'J.R.R.托尔金', '英国', '小说', '史诗', '魔幻']", 2012-7
53,第二性Ⅱ (豆瓣),"['西蒙娜・德・波伏娃', '女性', '哲学', '女性研究', '社会学', '女性主义', '法国', '波伏娃']", 2011-9
54,隔江山色 (豆瓣),"['高居翰', '艺术史', '艺术', '绘画', '中国美术史', '中国', '历史', '生活·读书·新知三联书店']", 2009-8
55,半生缘 (豆瓣),"['张爱玲', '爱情', '小说', '半生缘', '中国文学', '生活比死难堪', '民国', '文学']", 2012-6-1
56,夜莺与玫瑰 (豆瓣),"['王尔德', '童话', '夜莺与玫瑰', '英国文学', '英国', '外国文学', 'OscarWilde', '文学']", 2010-2
57,金锁记 (豆瓣),"['张爱玲', '小说', '中国文学', '金锁记', '女性文学', '文学', '短篇集', '中国']", 2005-6
58,勒·柯布西耶全集 (豆瓣),"['建筑', '柯布西耶', '建筑设计', '勒·柯布西耶全集', '建筑大师', '设计', 'Architecture', '思维方式']", 2005-4
59,1453 (豆瓣),"['历史', '地中海史诗三部曲', '拜占庭', '欧洲历史', '中世纪', '罗杰·克劳利', '文明冲突', '军事史']", 2014-6
60,悲惨世界（全三册） (豆瓣),"['雨果', '外国文学', '经典', '悲惨世界', '名著', '法国文学', '法国', '小说']", 2003-1
61,编码 (豆瓣),"['计算机', '计算机科学', '计算机原理', '编程', '编码', '科普', '底层探索', '技术']", 2010
62,古文观止 (豆瓣),"['古文观止', '古典文学', '古籍', '古文', '文学', '中国', '经典', '古典']", 1959-9
63,说文解字 (豆瓣),"['说文解字', '工具书', '国学', '文字学', '语言学', '古籍', '许慎', '文字']", 1963-12
64,冰与火之歌·卷三·冰雨的风暴（全三册） (豆瓣),"['冰与火之歌', '奇幻', '乔治·R.R.马丁', '小说', '史诗', '美国', '魔幻', '外国文学']", 2012-6
65,亲密关系 (豆瓣),"['心理学', '亲密关系', '人际关系', '爱情心理', '心理', '爱情', '成长', '社会学']", 2011-1-1
66,五月天之素人自拍 (豆瓣),"['五月天', '素人自拍', 'Mayday', '阿信', '五月天ソ素人自拍', '台湾', '記實', '台灣']", 2001-9-17
67,对伪心理学说不 (豆瓣),"['心理学', '心理', '科普', '批判性思维', '科学', '社会\\心理\\经济', '思维', '美国']", 2012-1-1
68,我要做好孩子 (豆瓣),"['儿童文学', '黄蓓佳', '我要做好孩子', '小说', '童年', '童年回忆', '童年记忆', '中国']", 1996-12
69,北方的空地 (豆瓣),"['旅行', '羌塘', '探险', '杨柳松', '户外', '西藏', '游记', '穿越']", 2011-4
70,古拉格：一部历史 (豆瓣),"['历史', '苏联', '古拉格', '极权', '社会史', '黑暗时代', '政治学', '苦难']", 2013-4-1
71,地下室手记 (豆瓣),"['陀思妥耶夫斯基', '小说', '俄罗斯', '俄国文学', '外国文学', '文学', '俄罗斯文学', '哲学']", 2012-5
72,皮皮鲁和鲁西西全传 (豆瓣),"['郑渊洁', '童话', '皮皮鲁', '儿童文学', '童年', '小时候的书', '经典', '中国']", 1989
73,失明症漫记 (豆瓣),"['小说', '萨拉马戈', '人性', '诺贝尔文学奖', '外国文学', '若泽·萨拉马戈', '葡萄牙', '葡萄牙文学']", 2014-2
74,来自新世界 （上下） (豆瓣),"['科幻', '日本文学', '日本', '贵志佑介', '反乌托邦', '小说', '贵志祐介', '轻小说']", 2014-4
75,永恒的终结 (豆瓣),"['科幻', '阿西莫夫', '时间旅行', '科幻小说', '小说', '美国', '艾萨克·阿西莫夫', '外国文学']", 2014-9-1
76,听音乐（插图第6版） (豆瓣),"['音乐', '古典音乐', '音乐欣赏', '艺术', '音乐教程', '西方古典音乐', '音乐学', '西方音乐']", 2008-6
77,美的历程 (豆瓣),"['美学', '李泽厚', '艺术', '哲学', '美的历程', '人文', '中国', '生活·读书·新知三联书店']", 2009-1-1
