,word,wordnum
0,小说,200.0
1,外国文学,152.0
2,文学,150.0
3,经典,129.0
4,中国,105.0
5,中国文学,94.0
6,历史,88.0
7,哲学,80.0
8,美国,67.0
9,随笔,42.0
10,英国,38.0
11,社会学,36.0
12,散文,34.0
13,古典文学,33.0
14,科普,33.0
15,国学,33.0
16,文化,33.0
17,传记,32.0
18,绘本,32.0
19,诗歌,31.0
20,艺术,31.0
21,计算机,30.0
22,童话,29.0
23,儿童文学,29.0
24,漫画,27.0
25,法国,26.0
26,日本,26.0
27,政治,23.0
28,社会,23.0
29,编程,23.0
30,德国,23.0
31,思想,22.0
32,心理学,22.0
33,英国文学,21.0
34,科幻,20.0
35,爱情,19.0
36,心理,19.0
37,西方哲学,18.0
38,中国历史,17.0
39,科幻小说,17.0
40,台湾,16.0
41,宗教,16.0
42,古典,16.0
43,日本文学,15.0
44,诗词,15.0
45,拉美文学,14.0
46,法国文学,14.0
47,名著,14.0
48,童年,14.0
49,诗,13.0
50,奇幻,13.0
51,回忆录,13.0
52,科学,13.0
53,政治哲学,13.0
54,博尔赫斯,12.0
55,政治学,12.0
56,王小波,12.0
57,阿根廷,12.0
58,俄罗斯,12.0
59,当代文学,12.0
60,纪实,12.0
61,佛教,12.0
62,古籍,12.0
63,自然,12.0
64,俄国文学,11.0
65,佛学,11.0
66,教材,11.0
67,经济,11.0
68,人生,11.0
69,程序设计,11.0
70,短篇小说,10.0
71,美国文学,10.0
72,意大利,10.0
73,中国古典文学,10.0
74,成长,10.0
75,电影,9.0
76,经济学,9.0
77,三毛,9.0
78,魔幻,9.0
79,人类学,9.0
80,俄罗斯文学,9.0
81,推理,9.0
82,programming,9.0
83,计算机科学,9.0
84,毛姆,8.0
85,古希腊,8.0
86,建筑,8.0
87,文学理论,8.0
88,童书,8.0
89,艺术史,8.0
90,二战,8.0
91,散文随笔,8.0
92,思维,8.0
93,意大利文学,8.0
94,金融,7.0
95,现代文学,7.0
96,赫尔曼·黑塞,7.0
97,人性,7.0
98,杂文,7.0
99,动物,7.0
100,史诗,7.0
101,德国文学,7.0
102,生活,7.0
103,投资,7.0
104,理想国,7.0
105,黑塞,7.0
106,卡尔维诺,7.0
107,女性,7.0
108,武侠,7.0
109,软件开发,7.0
110,文艺理论,7.0
111,好书，值得一读,7.0
112,戏剧,7.0
113,美学,7.0
114,诗集,7.0
115,民主,7.0
116,旅行,7.0
117,儿童,6.0
118,人物传记,6.0
119,推理小说,6.0
120,软件工程,6.0
121,阿根廷文学,6.0
122,音乐,6.0
123,物理,6.0
124,三联,6.0
125,书信,6.0
126,C/C++,6.0
127,教育,6.0
128,摄影,6.0
129,阿西莫夫,6.0
130,写作,6.0
131,文学评论,6.0
132,瑞典,6.0
133,方法论,6.0
134,社会心理学,6.0
135,工具书,6.0
136,法学,6.0
137,奥地利,6.0
138,中国哲学,6.0
139,香港,6.0
140,短篇集,6.0
141,李娟,5.0
142,钱穆,5.0
143,数学,5.0
144,思想史,5.0
145,存在主义,5.0
146,新疆,5.0
147,电影理论,5.0
148,拉美,5.0
149,励志,5.0
150,陀思妥耶夫斯基,5.0
151,鲁迅,5.0
152,道家,5.0
153,医学,5.0
154,加缪,5.0
155,设计,5.0
156,汪曾祺,5.0
157,西方奇幻,5.0
158,叔本华,5.0
159,商业,5.0
160,人文,5.0
161,民国,5.0
162,现当代文学,5.0
163,绘画,5.0
164,俄国,5.0
165,法律,5.0
166,基地系列,5.0
167,自由主义,5.0
168,老舍,5.0
169,冰与火之歌,5.0
170,反乌托邦,5.0
171,言情,5.0
172,物理学,5.0
173,军事,5.0
174,建筑史,4.0
175,伊朗,4.0
176,温暖,4.0
177,茅盾文学奖,4.0
178,战争,4.0
179,茨威格,4.0
180,明朝,4.0
181,剧本,4.0
182,自传,4.0
183,太空歌剧,4.0
184,诺贝尔文学奖,4.0
185,世界历史,4.0
186,史铁生,4.0
187,悬疑,4.0
188,古典诗词,4.0
189,王尔德,4.0
190,豪尔赫·路易斯·博尔赫斯,4.0
191,辞典,4.0
192,C,4.0
193,宗萨蒋扬钦哲仁波切,4.0
194,中国当代文学,4.0
195,游记,4.0
196,理财,4.0
197,繪本,4.0
198,股票,4.0
199,梵高,4.0
200,自由,4.0
201,柏拉图,4.0
202,阿尔贝·加缪,4.0
203,古罗马,4.0
204,价值投资,4.0
205,台灣,4.0
206,入门,4.0
207,吉米·哈利,4.0
208,阿勒泰,4.0
209,台湾文学,4.0
210,英语,4.0
211,乔治·马丁,4.0
212,苏格拉底,4.0
213,甲骨文,4.0
214,小时候的书,4.0
215,伊塔洛·卡尔维诺,4.0
216,庄子,4.0
217,图像小说,3.0
218,论语,3.0
219,百科,3.0
220,丹·西蒙斯,3.0
221,红楼梦,3.0
222,证券,3.0
223,罗马人的故事,3.0
224,远征军,3.0
225,社会理论,3.0
226,藤萍,3.0
227,中国现当代文学,3.0
228,魏晋南北朝,3.0
229,精神分析,3.0
230,投资理财,3.0
231,西班牙文学,3.0
232,生命,3.0
233,时间,3.0
234,黄金时代,3.0
235,英语学习,3.0
236,纪实文学,3.0
237,死亡,3.0
238,C++,3.0
239,人生的智慧,3.0
240,历史小说,3.0
241,托尔金,3.0
242,外国名著,3.0
243,地理,3.0
244,中国近代史,3.0
245,普鲁斯特,3.0
246,钱锺书,3.0
247,霸王别姬,3.0
248,人间词话,3.0
249,侦探,3.0
250,操作系统,3.0
251,纪实中国,3.0
252,智慧,3.0
253,钱钟书,3.0
254,语言学,3.0
255,罗马,3.0
256,灵修,3.0
257,语言,3.0
258,海伯利安,3.0
259,维特根斯坦,3.0
260,李碧华,3.0
261,记忆,3.0
262,欧洲,3.0
263,互联网,3.0
264,算法,3.0
265,幻想,3.0
266,叶嘉莹,3.0
267,通史,3.0
268,自然科学,3.0
269,百科全书,3.0
270,修行,3.0
271,佛经,3.0
272,张爱玲,3.0
273,后浪漫,3.0
274,苏俄文学,3.0
275,后浪,3.0
276,史学,3.0
277,武侠小说,3.0
278,亚里士多德,3.0
279,逻辑,3.0
280,思考,3.0
281,唐诗,3.0
282,费孝通,3.0
283,印度,3.0
284,三毛echo,3.0
285,丰饶之海,3.0
286,王国维,3.0
287,飘,3.0
288,建筑理论,3.0
289,信仰,3.0
290,三岛由纪夫,3.0
291,苦难,3.0
292,中国文化,3.0
293,魔戒,3.0
294,加西亚·马尔克斯,3.0
295,西班牙,3.0
296,南怀瑾,3.0
297,艾萨克·阿西莫夫,3.0
298,耽美,3.0
299,设计模式,3.0
300,学习,3.0
301,纪伯伦,3.0
302,中国史,3.0
303,魔幻现实主义,3.0
304,有趣,3.0
305,阿列克谢耶维奇,3.0
306,里尔克,3.0
307,魏晋,3.0
308,探险,3.0
309,学术,3.0
310,何伟,3.0
311,陈寅恪,3.0
312,切尔诺贝利,3.0
313,芥川龙之介,3.0
314,盐野七生,3.0
315,文化研究,3.0
316,塞尔努达,3.0
317,青春,3.0
318,张国荣,3.0
319,明史,3.0
320,希望,2.0
321,计算机系统,2.0
322,古文,2.0
323,J.R.R.托尔金,2.0
324,人工智能,2.0
325,金刚经,2.0
326,夏宇,2.0
327,汤显祖,2.0
328,健康,2.0
329,吴淼,2.0
330,现实主义,2.0
331,托尔斯泰,2.0
332,木心,2.0
333,帕乌斯托夫斯基,2.0
334,乱世佳人,2.0
335,诸子百家,2.0
336,古建筑,2.0
337,我的精神家园,2.0
338,路易斯·塞尔努达,2.0
339,技术,2.0
340,福柯,2.0
341,意识流,2.0
342,埃莱娜•费兰特,2.0
343,钢琴谱,2.0
344,麒麟,2.0
345,IT,2.0
346,最爱❤,2.0
347,语言哲学,2.0
348,心灵,2.0
349,理想国译丛,2.0
350,伊塔洛・卡尔维诺,2.0
351,c语言,2.0
352,蒋勋,2.0
