,word,wordnum
0,文学,16.0
1,小说,16.0
2,外国文学,13.0
3,中国文学,9.0
4,哲学,6.0
5,美国,6.0
6,中国,6.0
7,随笔,6.0
8,自然,4.0
9,英国,4.0
10,阿勒泰,3.0
11,伊塔洛·卡尔维诺,3.0
12,散文,3.0
13,卡尔维诺,3.0
14,散文随笔,3.0
15,新疆,3.0
16,英国文学,3.0
17,意大利,3.0
18,李娟,3.0
19,意大利文学,3.0
20,爱情,2.0
21,短篇集,2.0
22,纪实,2.0
23,社会学,2.0
24,计算机,2.0
25,法国,2.0
26,动物,2.0
27,经典,2.0
28,思想,2.0
29,魔幻,2.0
30,思想史,2.0
31,奇幻,2.0
32,科学,2.0
33,史诗,2.0
34,艺术,2.0
35,古典文学,2.0
36,乔治·R.R.马丁,1.0
37,冰与火之歌,1.0
38,民国,1.0
39,特朗斯特罗姆,1.0
40,励志,1.0
41,陈忠实,1.0
42,陀思妥耶夫斯基,1.0
43,文艺理论,1.0
44,短篇小说,1.0
45,文化研究,1.0
46,存在主義,1.0
47,漫画,1.0
48,正能量,1.0
49,访谈,1.0
50,杀死一只知更鸟,1.0
51,文学理论,1.0
52,叶嘉莹,1.0
53,中国当代文学,1.0
54,科学史,1.0
55,白鹿原,1.0
56,科幻,1.0
57,文化,1.0
58,托马斯·特朗斯特罗姆,1.0
59,心理学,1.0
60,意识流,1.0
61,文学评述,1.0
62,统计学,1.0
63,政治,1.0
64,哈珀·李,1.0
65,诗集,1.0
66,MachineLearning,1.0
67,社会\\心理\\经济,1.0
68,纪实小说,1.0
69,王小波,1.0
70,思维,1.0
71,社会变迁,1.0
72,银河帝国,1.0
73,顾城,1.0
74,滚蛋吧！肿瘤君,1.0
75,学术,1.0
76,文学评论,1.0
77,蒋勋,1.0
78,统计学习,1.0
79,追忆似水年华,1.0
80,顾随,1.0
81,科普,1.0
82,科学哲学,1.0
83,威廉·巴雷特,1.0
84,西方古典音乐,1.0
85,哲思,1.0
86,羊道·深山夏牧场,1.0
87,茅盾文学奖,1.0
88,yesminister!,1.0
89,恺撒,1.0
90,俄罗斯,1.0
91,科幻小说,1.0
92,教育,1.0
93,半生缘,1.0
94,法学,1.0
95,社会,1.0
96,洁净优美动人,1.0
97,旅行,1.0
98,纪实中国,1.0
99,何伟,1.0
100,诗词,1.0
101,成长,1.0
102,狼,1.0
103,中国现当代文学,1.0
104,城市,1.0
105,谈话录,1.0
106,受戒,1.0
107,黄金时代,1.0
108,中国古典诗词感发,1.0
109,普鲁斯特,1.0
110,传记,1.0
111,ComputerScience,1.0
112,红楼梦,1.0
113,罗马,1.0
114,古典音乐,1.0
115,加西亚-马尔克斯,1.0
116,存在主义,1.0
117,“狼妈妈”李微漪,1.0
118,拉美文学,1.0
119,基地系列,1.0
120,汪曾祺,1.0
121,托尔金,1.0
122,美国文学,1.0
123,罗马人的故事,1.0
124,阿西莫夫,1.0
125,Biography,1.0
126,外国哲学,1.0
127,张爱玲,1.0
128,树上的男爵,1.0
129,美学大师,1.0
130,吉米·哈利,1.0
131,写作,1.0
132,毛姆,1.0
133,库恩,1.0
134,法国文学,1.0
135,方法论,1.0
136,古罗马,1.0
137,美国@Peter_Hessler,1.0
138,机器学习,1.0
139,三联书店,1.0
140,米歇尔·福柯,1.0
141,生活比死难堪,1.0
142,美学,1.0
143,巴黎评论,1.0
144,福柯,1.0
145,心理,1.0
146,读书,1.0
147,万物系列,1.0
148,日本,1.0
149,诗歌,1.0
150,批判性思维,1.0
151,耶鲁公开课教材,1.0
152,感人,1.0
153,西方哲学,1.0
154,数学,1.0
155,科学革命,1.0
156,俄罗斯文学,1.0
157,诗,1.0
158,诗心,1.0
159,PhD,1.0
160,霍乱时期的爱情,1.0
161,盐野七生,1.0
162,音乐欣赏,1.0
163,文学批评,1.0
164,罗马史,1.0
165,艾萨克·阿西莫夫,1.0
166,绘本,1.0
167,重返狼群,1.0
168,数据挖掘,1.0
169,瑞典文学,1.0
170,瑞典,1.0
171,音乐,1.0
172,讽刺,1.0
173,俄国文学,1.0
174,J.R.R.托尔金,1.0
175,熊顿,1.0
176,当代文学,1.0
177,历史,1.0
178,非理性的人,1.0
179,朱光潜,1.0
180,古典诗词,1.0
181,魔戒,1.0
182,统计,1.0
183,加西亚·马尔克斯,1.0
